Geo Point,Geo Shape,he_loop,lift,pids,station
"-37.81797799999998, 145.19228099999998","{""coordinates"": [145.19228099999998, -37.81797799999998], ""type"": ""Point""}",Yes,Yes,Dot Matrix,Mitcham
"-37.715296999999964, 145.12151100000005","{""coordinates"": [145.12151100000005, -37.715296999999964], ""type"": ""Point""}",No,No,No,Montmorency
"-37.93482, 145.03668300000004","{""coordinates"": [145.03668300000004, -37.93482], ""type"": ""Point""}",No,No,Dot Matrix,Moorabbin
"-37.78473599999995, 145.31283600000006","{""coordinates"": [145.31283600000006, -37.78473599999995], ""type"": ""Point""}",No,No,Dot Matrix,Mooroolbark
"-37.75434199999995, 144.96184800000003","{""coordinates"": [144.96184800000003, -37.75434199999995], ""type"": ""Point""}",No,No,No,Moreland
"-37.890266, 145.06733200000008","{""coordinates"": [145.06733200000008, -37.890266], ""type"": ""Point""}",No,No,No,Murrumbeena
"-37.700717, 144.77386","{""coordinates"": [144.77386, -37.700717], ""type"": ""Point""}",No,Yes,Dot Matrix,Watergardens
"-37.85668099999998, 144.88875700000006","{""coordinates"": [144.88875700000006, -37.85668099999998], ""type"": ""Point""}",No,No,LCD,North Williamstown
"-37.820719999999994, 145.174174","{""coordinates"": [145.174174, -37.820719999999994], ""type"": ""Point""}",Yes,Yes,Dot Matrix,Nunawading
"-37.900368999999955, 145.08831400000008","{""coordinates"": [145.08831400000008, -37.900368999999955], ""type"": ""Point""}",No,No,Dot Matrix,Oakleigh
"-37.744872999999984, 144.80007","{""coordinates"": [144.80007, -37.744872999999984], ""type"": ""Point""}",Yes,Yes,LCD,St Albans
"-37.87633099999999, 145.14944400000002","{""coordinates"": [145.14944400000002, -37.87633099999999], ""type"": ""Point""}",No,No,Dot Matrix,Syndal
"-37.75504799999999, 144.99857600000007","{""coordinates"": [144.99857600000007, -37.75504799999999], ""type"": ""Point""}",No,No,Dot Matrix,Thornbury
"-37.79925499999996, 144.86294800000007","{""coordinates"": [144.86294800000007, -37.79925499999996], ""type"": ""Point""}",No,No,No,Tottenham
"-37.89264799999995, 145.30747000000008","{""coordinates"": [145.30747000000008, -37.89264799999995], ""type"": ""Point""}",No,No,Dot Matrix,Upper Ferntree Gully
"-38.066142999999954, 145.41099300000008","{""coordinates"": [145.41099300000008, -38.066142999999954], ""type"": ""Point""}",No,No,No,Officer
"-37.811928999999964, 144.97340800000006","{""coordinates"": [144.97340800000006, -37.811928999999964], ""type"": ""Point""}",Yes,Yes,LCD,Parliament
"-37.73075499999999, 144.92819500000007","{""coordinates"": [144.92819500000007, -37.73075499999999], ""type"": ""Point""}",No,No,No,Pascoe Vale
"-37.92550499999999, 145.03546100000005","{""coordinates"": [145.03546100000005, -37.92550499999999], ""type"": ""Point""}",No,No,Dot Matrix,Patterson
"-37.728602999999964, 145.00273200000004","{""coordinates"": [145.00273200000004, -37.728602999999964], ""type"": ""Point""}",No,No,Dot Matrix,Regent
"-37.815968999999996, 145.22881600000005","{""coordinates"": [145.22881600000005, -37.815968999999996], ""type"": ""Point""}",Yes,Yes,Dot Matrix,Ringwood
"-37.83172399999995, 145.069614","{""coordinates"": [145.069614, -37.83172399999995], ""type"": ""Point""}",No,No,Dot Matrix,Riversdale
"-37.74287199999998, 145.06611900000007","{""coordinates"": [145.06611900000007, -37.74287199999998], ""type"": ""Point""}",No,No,Dot Matrix,Rosanna
"-37.950256999999965, 145.004588","{""coordinates"": [145.004588, -37.950256999999965], ""type"": ""Point""}",No,No,Dot Matrix,Sandringham
"-38.10435799999999, 145.12823300000002","{""coordinates"": [145.12823300000002, -38.10435799999999], ""type"": ""Point""}",No,No,Dot Matrix,Seaford
"-37.638004999999964, 144.935568","{""coordinates"": [144.935568, -37.638004999999964], ""type"": ""Point""}",Yes,No,Dot Matrix,Roxburgh Park
"-37.90369199999998, 145.33133500000008","{""coordinates"": [145.33133500000008, -37.90369199999998], ""type"": ""Point""}",No,No,No,Upwey
"-37.71137999999996, 145.083389","{""coordinates"": [145.083389, -37.71137999999996], ""type"": ""Point""}",No,No,Dot Matrix,Watsonia
"-37.81445599999995, 144.99169600000005","{""coordinates"": [144.99169600000005, -37.81445599999995], ""type"": ""Point""}",No,No,No,West Richmond
"-37.835487, 145.07014000000004","{""coordinates"": [145.07014000000004, -37.835487], ""type"": ""Point""}",No,No,No,Willison
"-37.64907599999998, 145.06746800000008","{""coordinates"": [145.06746800000008, -37.64907599999998], ""type"": ""Point""}",Yes,Yes,Dot Matrix,South Morang
