property_id,block_id,seating_type,clue_small_area,trading_name,x_coordinate,y_coordinate,industry_anzsic4_description
105679,67,Seats - Indoor,Melbourne (CBD),1st Choice Restaurant ,144.96853,-37.81098009,Cafes and Restaurants
105928,35,Seats - Indoor,Melbourne (CBD),Caffe E Biscotti,144.9642254,-37.81528948,Cafes and Restaurants
103620,68,Seats - Indoor,Melbourne (CBD),China Bar Asian Seafood Buffet,144.9704962,-37.81055707,Cafes and Restaurants
105456,83,Seats - Indoor,Melbourne (CBD),Melbourne Mahn Doo,144.9586601,-37.81145082,Cafes and Restaurants
589841,76,Seats - Indoor,Melbourne (CBD),Strike Bowling,144.9657034,-37.810658,"Sports and Physical Recreation Venues, Grounds and Facilities Operation"
110708,72,Seats - Indoor,Melbourne (CBD),68 degree Coffee & Food,144.9560169,-37.8134766,Cafes and Restaurants
110335,801,Seats - Indoor,Southbank,Breslin Bar And Grill,144.9628914,-37.8210403,Cafes and Restaurants
103623,48,Seats - Indoor,Melbourne (CBD),Black Velvet Espresso ,144.9711075,-37.81240259,Takeaway Food Services
111297,742,Seats - Outdoor,Southbank,8 On Miles,144.9679695,-37.82843322,Cafes and Restaurants
517170,246,Seats - Outdoor,Carlton,The Backyard Cafe,144.966039,-37.80164531,Takeaway Food Services
101028,87,Seats - Indoor,Melbourne (CBD),Fraser Place Melbourne,144.9679206,-37.8090516,Accommodation
575151,369,Seats - Outdoor,North Melbourne,Counter,144.9500275,-37.80247547,Takeaway Food Services
618854,1110,Seats - Outdoor,Docklands,Cafe Bourgeois,144.9411967,-37.81308483,Cafes and Restaurants
105928,35,Seats - Indoor,Melbourne (CBD),Brown Sugar Cafe,144.9642254,-37.81528948,Cafes and Restaurants
110140,93,Seats - Indoor,Melbourne (CBD),Brother Thomas Coffee,144.9565783,-37.81124428,Cafes and Restaurants
109655,621,Seats - Indoor,East Melbourne,Solah,144.9799791,-37.80919457,Cafes and Restaurants
105738,74,Seats - Indoor,Melbourne (CBD),Hash Specialty Coffee And Roasters,144.9605306,-37.81240787,Cafes and Restaurants
105742,74,Seats - Indoor,Melbourne (CBD),Bread Kingdom,144.9614561,-37.81220274,Bakery Product Manufacturing (Non-factory based)
102089,24,Seats - Indoor,Melbourne (CBD),Strozzi Restaurant,144.9632538,-37.81706705,Cafes and Restaurants
104101,115,Seats - Indoor,Melbourne (CBD),Mercure Melbourne Therry Street,144.9608162,-37.80741949,Accommodation
108620,710,Seats - Outdoor,Melbourne (Remainder),I Sushi ,144.9757194,-37.83548357,Cafes and Restaurants
111297,742,Seats - Indoor,Southbank,8 On Miles,144.9679695,-37.82843322,Cafes and Restaurants
620308,1110,Seats - Indoor,Docklands,Degani Bakery Cafe,144.9378299,-37.81315031,Cafes and Restaurants
105935,33,Seats - Indoor,Melbourne (CBD),Tengu Sushi,144.9603969,-37.81629333,Takeaway Food Services
104654,54,Seats - Indoor,Melbourne (CBD),Big Boy BBQ,144.9612664,-37.81398752,Cafes and Restaurants
110988,804,Seats - Outdoor,Southbank,BangPop,144.9503336,-37.82409303,Cafes and Restaurants
105949,42,Seats - Indoor,Melbourne (CBD),Five Points,144.956774,-37.81695942,Cafes and Restaurants
109388,86,Seats - Outdoor,Melbourne (CBD),The Moat Bar & Cafe,144.965306,-37.80976881,Cafes and Restaurants
108071,53,Seats - Indoor,Melbourne (CBD),Dose Espresso ,144.9602891,-37.81485954,Takeaway Food Services
